0,1,2
96,75,0
107,72,0
114,80,0
125,87,0
123,77,0
119,70,0
94,80,0
91,108,0
92,122,0
98,141,0
107,160,0
115,171,0
122,172,0
138,178,0
150,176,0
156,174,0
163,153,0
165,138,0
167,120,0
167,106,0
165,87,0
164,83,0
156,75,0
151,70,0
141,66,0
131,66,0
128,79,0
128,90,0
117,97,0
103,94,0
101,87,0
92,94,0
103,111,0
105,128,0
112,146,0
117,153,0
126,156,0
133,158,0
142,161,0
149,155,0
154,143,0
155,126,0
156,113,0
154,97,0
150,85,0
146,82,0
138,78,0
135,88,0
135,96,0
127,101,0
120,102,0
118,104,0
115,109,0
109,107,0
109,96,0
110,89,0
110,82,0
104,77,0
100,87,0
98,104,0
98,108,0
98,123,0
98,134,0
108,149,0
108,142,0
108,137,0
112,133,0
116,128,0
119,120,0
123,117,0
130,117,0
133,125,0
126,133,0
122,127,0
119,131,0
110,121,0
110,116,0
121,141,0
120,140,0
115,137,0
130,139,0
135,142,0
141,133,0
145,121,0
142,109,0
136,106,0
129,107,0
128,108,0
138,120,0
145,103,0
140,82,0
143,89,0
144,92,0
151,103,0
151,114,0
148,119,0
146,139,0
138,144,0
134,150,0
125,149,0
122,164,0
112,158,0
107,147,0
130,172,0
138,177,0
141,172,0
146,166,0
150,163,0
157,153,0
159,141,0
154,125,0
148,130,0
145,146,0
144,153,0
130,129,0
160,134,0
164,115,0
164,109,0
161,98,0
160,94,0
156,81,0
159,92,0
143,74,0
133,75,0
169,91,0
156,103,0
165,127,0
165,129,0
160,119,0
159,168,0
159,159,0
157,161,0
163,147,0
168,144,0
134,165,0
99,150,0
93,110,0
99,116,0
104,101,0
95,89,0
104,40,1
105,35,1
120,38,1
112,49,1
102,53,1
94,57,1
89,66,1
84,84,1
82,96,1
82,110,1
82,126,1
84,147,1
84,155,1
85,169,1
89,179,1
98,186,1
109,187,1
117,189,1
125,188,1
137,187,1
153,191,1
156,190,1
166,187,1
171,182,1
178,167,1
184,141,1
184,111,1
177,80,1
168,64,1
156,58,1
140,55,1
121,52,1
137,38,1
130,49,1
144,43,1
155,36,1
161,44,1
174,42,1
179,54,1
184,71,1
193,83,1
184,97,1
179,116,1
178,140,1
175,160,1
170,168,1
185,150,1
190,137,1
190,124,1
191,114,1
193,102,1
191,91,1
188,86,1
90,41,1
77,60,1
77,82,1
74,108,1
74,123,1
75,146,1
76,167,1
81,187,1
98,202,1
117,205,1
127,204,1
139,204,1
155,204,1
160,202,1
172,196,1
181,185,1
184,177,1
187,161,1
106,205,1
91,201,1
87,193,1
78,177,1
74,153,1
74,130,1
75,93,1
72,73,1
84,53,1
149,31,1
132,25,1
121,26,1
111,26,1
98,32,1
69,81,1
68,99,1
165,36,1
140,26,1
171,50,1
176,62,1
191,61,1
67,90,1
68,113,1
69,142,1
177,96,1
177,126,1
175,106,1
191,71,1
150,48,1
95,48,1
97,168,1
93,151,1
105,177,1
83,138,1
